year,systemic_crisis,exch_usd,domestic_debt_in_default,sovereign_external_debt_default,gdp_weighted_default,currency_crises,inflation_crises,banking_crisis
1870,1,0.052264,0,0,0,0,0,1
1871,0,0.052798,0,0,0,0,0,0
1872,0,0.052274,0,0,0,0,0,0
1873,0,0.05168,0,0,0,0,0,0
1874,0,0.051308,0,0,0,0,0,0
1875,0,0.051546,0,0,0,0,0,0
1876,0,0.051867,0,0,0,0,0,0
1877,0,0.051867,0,0,0,0,1,0
1878,0,0.051948,0,0,0,0,0,0
1879,0,0.052029,0,0,0,0,0,0
1880,0,0.052356,0,0,0,0,0,0
1881,0,0.052029,0,0,0,0,0,0
1882,0,0.050761,0,0,0,0,0,0
1883,0,0.052002,0,0,0,0,0,0
1884,0,0.052165,0,0,0,0,0,0
1939,0,0.44903,0,0,0,0,0,0
1940,0,0.49189,0,0,0,0,1,0
1941,0,0.44937,0,0,0,0,0,0
1942,0,0.75,0,0,0,0,1,0
1943,0,0.5,0,0,0,1,1,0
1944,0,0.5,0,0,0,1,1,0
1945,0,1.191,0,0,0,0,1,0
1946,0,1.191,0,0,0,0,0,0
1947,0,1.193,0,0,0,0,1,0
1948,0,2.662,0,0,0,0,1,0
1949,0,3.49,0,0,0,0,1,0
1950,0,3.499,0,0,0,0,0,0
1951,0,3.5,0,0,0,0,0,0
1952,0,3.5,0,0,0,0,0,0
1953,0,3.5,0,0,0,0,0,0
1954,0,3.5,0,0,0,0,0,0
1955,0,3.5,0,0,0,0,0,0
1956,0,3.5,0,0,0,0,0,0
1957,0,4.199,0,0,0,0,0,0
1958,0,4.906,0,0,0,0,0,0
1959,0,4.909,0,0,0,0,0,0
1960,0,4.93706,0,0,0,1,0,0
1961,0,4.93706,0,0,0,0,0,0
1968,0,4.93706,0,0,0,0,0,0
1969,0,4.93706,0,0,0,0,0,0
1970,0,4.93706,0,0,0,0,0,0
1971,0,4.644,0,0,0,0,0,0
1972,0,4.556,0,0,0,0,0,0
1973,0,4.185,0,0,0,0,0,0
1974,0,3.997,0,0,0,0,0,0
1975,0,4.125,0,0,0,0,0,0
1976,0,4.359,0,0,0,0,0,0
1977,0,4.035,0,0,0,0,0,0
1978,0,3.8345,0,0,0,0,0,0
1979,0,3.7555,0,0,0,0,0,0
1980,0,3.9715,0,0,0,0,0,0
1981,0,4.378,0,0,0,0,0,0
1982,0,4.6355,0,0,0,0,0,0
1983,0,4.9165,0,0,0,0,0,0
1984,0,5.1227,0,0,0,0,0,0
1985,0,4.7728,0,0,0,0,0,0
1986,0,4.8235,0,0,0,0,0,0
1987,0,4.9363,0,0,0,0,0,0
1988,0,6.7308,0,0,0,1,0,0
1989,0,8.0324,0,0,0,1,0,0
1990,1,12.1908,0,0,0,1,0,1
1991,1,21.3919,0,1,0.23,1,1,1
1992,1,22.7814,0,1,0.23,0,1,1
1993,0,24.123,0,1,0.23,0,1,0
1994,0,42.8925,0,1,0.23,1,1,0
1995,0,52.175,0,1,0.23,1,1,0
1996,0,56.1859,0,1,0.23,0,0,0
1997,0,58.4139,0,0,0,0,0,0
1998,0,60.3531,0,0,0,0,0,0
1999,0,69.3143,0,0,0,0,0,0
2000,0,75.3428,0,0,0,0,0,0
2001,0,77.8196,0,0,0,0,0,0
2002,0,79.7234,0,0,0,0,0,0
2003,0,72.6128,0,0,0,0,0,0
2004,0,72.6137,0,0,0,0,0,0
2005,0,73.3799,0,0,0,0,0,0
2006,0,71.1582,0,0,0,0,0,0
2007,0,66.8299,0,0,0,0,0,0
2008,0,71.1826,0,0,0,0,0,0
2009,0,72.7309,0,0,0,0,0,0
2010,0,74.9437,0,0,0,0,0,0
2011,0,76.0563,0,0,0,0,0,0
2012,0,78.1025,0,0,0,0,0,0
2013,0,78.1487013,0,0,0,0,0,0
2014,0,87.9706983,0,0,0,0,0,0
1921,0,1.25E-08,0,0,0,0,1,0
1922,0,2.21E-08,0,0,0,0,1,0
1923,0,2.81E-08,0,0,0,0,1,0
1924,0,2.08E-08,0,0,0,0,1,0
1925,0,1.95E-08,0,0,0,0,0,0
1926,0,1.95E-08,0,0,0,0,0,0
1927,0,2.02E-08,0,0,0,0,0,0
1928,0,2.27E-08,0,0,0,0,0,0
1929,0,2.22E-08,0,0,0,0,0,0
1930,0,2.23E-08,0,0,0,0,0,0
1931,0,3.10E-08,0,0,0,0,0,0
1932,0,3.31E-08,0,0,0,0,0,0
1933,0,2.13E-08,0,0,0,0,0,0
1934,0,2.22E-08,0,0,0,0,0,0
1935,0,2.23E-08,0,0,0,0,0,0
1936,0,2.25E-08,0,0,0,0,0,0
1937,0,2.21E-08,0,0,0,0,0,0
1938,0,2.36E-08,0,0,0,0,0,0
1939,0,2.77E-08,0,0,0,0,0,0
1940,0,2.51E-08,0,0,0,0,0,0
1941,0,2.50E-08,0,0,0,0,0,0
1942,0,2.50E-08,0,0,0,0,0,0
1943,0,2.50E-08,0,0,0,0,0,0
1944,0,2.50E-08,0,0,0,0,0,0
1945,0,2.50E-08,0,0,0,0,0,0
1946,0,2.63E-08,0,0,0,0,0,0
1947,0,2.50E-08,0,0,0,0,0,0
1948,0,2.58E-08,0,0,0,0,0,0
1949,0,2.86E-08,0,0,0,0,0,0
1950,0,2.91E-08,0,0,0,0,0,0
1951,0,2.91E-08,0,0,0,0,0,0
1952,0,2.90E-08,0,0,0,0,0,0
1953,0,2.90E-08,0,0,0,0,0,0
1954,0,2.88E-08,0,0,0,0,0,0
1955,0,2.88E-08,0,0,0,0,0,0
1956,0,2.88E-08,0,0,0,0,0,0
1957,0,2.88E-08,0,0,0,0,0,0
1958,0,2.88E-08,0,0,0,0,0,0
1959,0,2.89E-08,0,0,0,1,0,0
1960,0,2.88E-08,0,0,0,0,0,0
1961,0,2.88E-08,0,0,0,0,0,0
1962,0,2.89E-08,0,0,0,0,0,0
1970,0,2.88E-08,0,0,0,1,0,0
1971,0,2.76E-08,0,0,0,0,0,0
1972,0,2.70E-08,0,0,0,1,0,0
1973,0,2.58E-08,0,0,0,1,0,0
1974,0,2.46E-08,0,0,0,0,1,0
1975,0,2.75E-08,0,0,0,0,1,0
1976,0,2.99E-08,1,0,0,0,1,0
1977,0,2.99E-08,0,0,0,0,1,0
1978,0,2.99E-08,0,0,0,0,1,0
1979,0,2.99E-08,0,0,0,0,1,0
1980,0,2.99E-08,0,0,0,0,1,0
1991,0,1.80E-07,0,1,0,1,1,0
1992,0,5.50E-07,1,1,0,1,1,1
1993,0,6.50E-06,1,1,0,1,1,1
1994,0,0.000509262,1,1,0,1,1,1
1996,0,0.201994,1,1,0,1,1,1
1997,0,0.262376,1,1,0,1,1,1
1998,0,0.6965,1,1,0,1,1,1
2000,0,16.81784,1,1,0,1,1,0
2001,0,31.94936,1,1,0,1,1,0
2002,0,58.66637,1,1,0,1,1,0
2003,0,79.08149,0,1,0,1,1,0
2004,0,85.98779,0,0,0,1,1,0
2005,0,80.77951,0,0,0,1,1,0
2006,0,80.26442,0,0,0,0,0,0
2007,0,75.023,0,0,0,0,0,0
2008,0,75.169,0,0,0,0,0,0
2009,0,89.398,0,0,0,1,0,0
2010,0,92.643,0,0,0,0,0,0
2011,0,95.272,0,0,0,0,0,0
2012,0,95.82588521,0,0,0,0,0,0
2013,0,97.56,0,0,0,0,0,0
2014,0,101.49,0,0,0,0,0,0
1957,0,209.9498515,0,0,0,0,0,0
